sizes,probs,cells
40.6,0.16,1300
95.2,0.07,2400
87,0.14,3450
81,0.67,4450
77.6,0.61,350
62.6,0.16,4450
17.6,0.88,4300
91.8,0.06,2450
88.2,0.83,3350
65.4,0.59,2100
74.6,0.97,4850
59.6,0.19,4800
40,0.05,300
71.8,0.4,1500
32.8,0.46,3350
49,0.92,550
65.2,0.2,500
98.4,0.01,1800
32,0.44,4550
91.6,0.04,4200
8.4,0.6,200
45,0.36,3450
10.8,0.53,650
3.4,0.19,4800
5.2,0.31,3750
69.8,0.35,250
74.6,0.76,2350
42,0.63,4150
95.8,0.29,3150
1.2,0.59,5000
84.8,0.57,4450
92,0.08,2000
1.6,0.81,700
20.8,0.83,1600
97.4,0.71,300
45,0.36,1600
33.4,0.98,3350
87.6,0.52,4300
84.4,0.18,2600
17.2,0.03,4050
52.8,0.5,3500
48.6,0.48,300
36.4,0.35,4250
90.8,0.52,2850
85.8,0.26,2850
16.6,0.33,3450
41,0.38,200
79.2,0.85,3650
98.4,0.34,4450
36.8,0.85,4100
1.6,0.58,1450
50.2,0.73,2150
35,0.75,3850
21.2,0.52,3250
21,0.74,4900
46.8,0.07,4700
30.6,0.46,3550
85,0.3,1750
19.2,0.18,400
28.4,0.61,2150
82.8,0.23,850
67.8,0.68,3050
78.4,0.67,2500
30.2,0.16,3400
33.8,0.3,2550
89.2,0.68,1150
9,0.07,450
47.4,0.08,4150
67.2,0.7,1000
93.8,0.32,600
76.8,0.88,400
59.4,0.3,4500
24.4,0.86,3700
19.6,0.35,3350
11.4,0.61,4800
38.2,0.41,1700
92,0.58,2000
29,0.75,850
60.2,0.21,2250
55.6,0.95,2950
88.6,0.78,4200
64.2,0.93,1300
90.6,0.56,1800
46,0.42,3600
92,0.59,4400
97.6,0.9,3800
37.4,0.53,2750
21.2,0.14,2950
83.8,0.03,4650
70.6,0.35,2700
51.4,0.34,3650
95.4,0.03,2900
97.2,0.9,1450
69,0.55,2300
31.2,0.63,650
34.8,0.7,450
96.4,0.21,300
72.6,0.61,3600
50.8,0.11,4300
81.8,0.54,2250
66.8,0.21,1300
66.6,0.19,2400
58.4,0.7,3450
29,0.41,4450
72.2,0.59,350
69.6,0.59,4450
6,0.86,4300
5.6,0.98,2450
44.8,0.75,3350
30,0.56,2100
78.2,0.68,4850
53.6,0.4,4800
33.2,0.5,300
60.4,0.96,1500
73,0.47,3350
56.2,0.82,550
33.6,0.43,500
91.2,0.76,1800
2.6,0.12,4550
3.4,0.89,4200
18.6,0.64,200
36.8,0.78,3450
74.8,0.35,650
36.4,0.29,4800
5.8,0.47,3750
19.2,0.49,250
79,0.45,2350
99.8,0.19,4150
4.6,0.58,3150
43.2,0.7,5000
43.8,0.05,4450
39.6,0.56,2000
70,0.54,700
96,0.49,1600
4.8,0.83,300
23,0.43,1600
36.4,0.2,3350
92.6,0.53,4300
86.6,0.56,2600
36.8,0.64,4050
79.8,0.29,3500
4.8,0.34,300
62.8,0.86,4250
35.4,0.25,2850
88.6,0.52,2850
98.6,0.42,3450
53,0.63,200
60.8,0.97,3650
70.6,0.63,4450
56.8,0.18,4100
26.4,0.67,1450
35,0.08,2150
92,0.77,3850
18.2,0.06,3250
14.6,0.24,4900
13.8,0.99,4700
54,0.16,3550
31.4,0.17,1750
82,0.12,400
22.8,0.82,2150
13.8,0.49,850
15.4,0.52,3050
70,0.68,2500
8.2,0.21,3400
77,0.43,2550
51.8,0.68,1150
34.2,0.42,450
1.8,0.44,4150
42,0.35,1000
9.4,0.59,600
44.6,0.47,400
45,0.32,4500
99.8,0.58,3700
65,0.32,3350
45.2,0.96,4800
9.4,0.31,1700
14.6,0.86,2000
39.2,0.16,850
67,0.64,2250
46.4,0.42,2950
84.4,0.2,4200
41.6,0.05,1300
57.6,0.19,1800
79.2,0.19,3600
97.4,0.38,4400
50.2,0.96,3800
47.4,0.79,2750
58.4,0.44,2950
43.6,0.67,4650
37.4,0.96,2700
2.2,0.31,3650
51.2,0.41,2900
93.2,0.91,1450
81.8,0.94,2300
40.4,0.65,650
35.8,0.81,450
6.6,0.2,300
63.6,0.25,3600
92.2,0.28,4300
71,0.62,2250
9,0.23,1300
52,0.71,2400
43.8,0.49,3450
14.6,0.7,4450
65.8,0.19,350
4.4,0.38,4450
53.8,0.25,4300
79.4,0.71,2450
54.6,0.61,3350
77.2,0.11,2100
21.2,0.8,4850
7.8,0.84,4800
86.8,0.39,300
16.2,0.33,1500
42,0.65,3350
46,0.7,550
31,0.39,500
30.4,0.16,1800
50.2,0.64,4550
80.8,0.2,4200
58.4,0.18,200
72.2,0.34,3450
82.4,0.32,650
57.6,0.63,4800
67.2,0.98,3750
51.6,0.34,250
98.8,0.74,2350
1.4,0.59,4150
40.6,0.88,3150
16.2,0.76,5000
81.2,0.01,4450
28.6,0.13,2000
32.4,0.64,700
25.6,0.97,1600
6.6,0.99,300
17.2,0.44,1600
41.4,0.95,3350
21.4,0.14,4300
14.4,0.95,2600
81.2,0.63,4050
80.6,0.81,3500
46.4,0.32,300
93.4,0.56,4250
52,0.38,2850
85.4,0.79,2850
21.6,0.95,3450
24,0.31,200
83.6,0.08,3650
41.6,0.69,4450
31.2,0.3,4100
90.4,0.19,1450
56.6,0.43,2150
31.8,0.81,3850
76,0.48,3250
6.2,0.93,4900
73.4,0.12,4700
84.2,0.83,3550
15.2,0.82,1750
29.2,0.29,400
73.6,0.36,2150
42.2,0.11,850
41.4,0.57,3050
73,0.84,2500
35,0.73,3400
65.4,0.71,2550
99,0.36,1150
78,0.43,450
58.4,0.91,4150
17.4,0.36,1000
19.4,0.32,600
66.2,0.47,400
95.6,0.55,4500
48.8,0.69,3700
88.4,0.08,3350
62.4,0.09,4800
4.4,0.95,1700
86.6,0.99,2000
27.6,0.09,850
9.2,0.95,2250
20.2,0.61,2950
62.2,0.09,4200
70,0.26,1300
74.2,0.09,1800
65.2,0.69,3600
27.6,0.14,4400
16.4,0.89,3800
26,0.49,2750
75.8,0.01,2950
3.2,0.86,4650
41.8,0.28,2700
68.6,0.83,3650
1.2,0.24,2900
88,0.78,1450
89.2,0.89,2300
18.2,0.14,650
56,0.43,450
2.2,0.26,300
5,0.86,3600
51.4,0.1,4300
32.8,0.02,2250
17.4,0.69,1300
19,0.4,2400
56.2,0.92,3450
58.6,0.32,4450
80.4,0.13,350
33.4,0.87,4450
64.8,0.63,4300
7.2,0.45,2450
40.8,0.58,3350
60,0.66,2100
7.4,0.18,4850
19.6,0.22,4800
75.4,0.74,300
89.6,0.61,1500
10.4,0.25,3350
15.4,0.47,550
99.8,0.09,500
25.4,0.29,1800
20.4,0.07,4550
75.8,0.41,4200
94,0.43,200
27.4,0.83,3450
44.4,0.25,650
69,0.92,4800
51.4,0.47,3750
99,0.56,250
15.6,0.75,2350
41,0.41,4150
71.6,0.8,3150
15.6,0.38,5000
81.6,0.6,4450
99.4,0.27,2000
14,0.06,700
61.2,0.51,1600
0.4,0.46,300
87.6,0.52,1600
87.8,0.78,3350
93.2,0.71,4300
58.2,0.96,2600
20.6,0.05,4050
1.8,0.23,3500
12.6,0.02,300
97.8,0.96,4250
7.8,0.99,2850
67.8,0.95,2850
9.2,0.73,3450
73.8,0.54,200
60.8,0.04,3650
26.6,0.51,4450
46.4,0.99,4100
12.2,0.62,1450
90.4,0.83,2150
93.2,0.92,3850
56.8,0.19,3250
40,0.25,4900
7,0.65,4700
24.6,0.15,3550
4.4,0.02,1750
15,0.46,400
67.8,0.12,2150
86,0.82,850
52.2,0.65,3050
2.6,0.63,2500
48.4,0.86,3400
49.6,0.46,2550
63.4,0.52,1150
48.8,0.72,450
9.8,0.95,4150
11.2,0.16,1000
9.6,0.25,600
65.6,0.23,400
56,0.51,4500
30.4,0.02,3700
65,0.25,3350
53,0.3,4800
62.6,0.73,1700
96.4,0.23,2000
84.8,0.26,850
2.6,0.55,2250
66.4,0.55,2950
89.4,0.13,4200
60.4,0.74,1300
99.4,0.49,1800
23.2,0.37,3600
93.4,0.66,4400
69.2,0.88,3800
100,0.16,2750
97,0.82,2950
85.8,0.89,4650
40.4,0.79,2700
24,0.51,3650
43.4,0.58,2900
1.8,0.28,1450
39.4,0.61,2300
63.2,0.27,650
63.8,0.22,450
76.2,0.02,300
61.8,0.65,3600
95,0.73,4300
17,0.74,2250
10.4,0.03,1300
16.6,0.05,2400
3.6,0.4,3450
46.6,0.09,4450
60,0.99,350
33,0.4,4450
43.2,0.54,4300
39.6,0.93,2450
33,0.27,3350
96.4,0.86,2100
100,0.91,4850
46,0.94,4800
20.8,0.41,300
42.6,0.35,1500
60.6,0.85,3350
80.8,0.89,550
11.6,0.34,500
64.8,0.17,1800
35.6,0.39,4550
99.2,0.31,4200
15,0.18,200
85.2,0.83,3450
90.4,0.98,650
26,0.72,4800
12.4,0.52,3750
60.2,0.63,250
42.2,0.71,2350
4.6,0.67,4150
99.6,0.09,3150
40.2,0.82,5000
15.4,0.72,4450
47.2,0.92,2000
67.8,0.92,700
68.6,0.89,1600
68.2,0.62,300
29.8,0.64,1600
56,0.33,3350
2.2,0.27,4300
30,0.88,2600
57,0.76,4050
77.8,0.52,3500
93.2,0.14,300
24.2,0.11,4250
54.8,0.46,2850
16.6,0.86,2850
68.8,0.41,3450
57.6,0.05,200
7,0.02,3650
13.6,0.41,4450
50.4,0.89,4100
41.8,0.53,1450
97.2,0.03,2150
79.4,0.81,3850
19.6,0.51,3250
43.8,0.98,4900
13.8,0.32,4700
34,0.91,3550
91.8,0.05,1750
1,0.72,400
59,0.14,2150
32.4,0.02,850
42.2,0.54,3050
79.6,0.93,2500
6.2,0.68,3400
31.2,0.49,2550
5.8,0.65,1150
5,0.34,450
24,0.03,4150
88.2,0.44,1000
13.4,0.28,600
94.8,0.96,400
73.4,0.14,4500
72,0.93,3700
0.2,0.54,3350
88.6,0.98,4800
90,0.3,1700
95.4,0.2,2000
58,0.63,850
65.8,0.03,2250
64.8,0.68,2950
20.6,0.36,4200
22.8,0.63,1300
77.2,0.66,1800
68.6,0.72,3600
41.6,0.9,4400
90,0.46,3800
100,0.94,2750
62.6,0.2,2950
53.8,0.69,4650
13.4,0.8,2700
96,0.85,3650
99.6,0.05,2900
55.6,0.19,1450
38.8,0.3,2300
43.2,0.86,650
98.2,0.51,450
19,0.25,300
10.2,0.15,3600
64.6,0.88,4300
12.2,0.06,2250
37.4,0.45,1300
43,0.24,2400
30,0.18,3450
52.8,0.19,4450
93.6,0.09,350
21.4,0.62,4450
1.8,0.31,4300
10.6,0.68,2450
21.6,0.91,3350
9.4,0.28,2100
57,0.13,4850
82,0.84,4800
18.4,0.07,300
20.2,0.6,1500
38.8,0.17,3350
16.6,0.86,550
50.2,0.93,500
79.8,0.02,1800
81.8,0.59,4550
38.6,0.7,4200
43.8,0.56,200
76.8,0.42,3450
60.6,0.48,650
1.2,0.79,4800
3,0.85,3750
28.8,0.04,250
92,0.78,2350
78.4,0.74,4150
86.8,0.36,3150
55.8,0.53,5000
30.2,0.64,4450
2.2,0.71,2000
32,0.89,700
23.8,0.23,1600
28.6,0.48,300
92,0.7,1600
42,0.29,3350
8.4,0.76,4300
45.4,0.13,2600
20.2,0.92,4050
5.6,0.08,3500
19,0.92,300
70,0.16,4250
48.2,0.64,2850
88,0.14,2850
92.8,0.85,3450
98,0.74,200
61.6,0.29,3650
49,0.08,4450
26,0.38,4100
40.6,0.11,1450
50,0.77,2150
32.8,0.3,3850
87.2,0.06,3250
91.8,0.19,4900
89.6,0.38,4700
38.6,0.44,3550
22.8,0.79,1750
60.8,0.84,400
51.6,0.6,2150
53,0.51,850
31.6,0.67,3050
37.6,0.15,2500
54.8,0.2,3400
84.8,0.07,2550
17,0.55,1150
56.2,0.19,450
11.2,0.8,4150
49.2,0.83,1000
91.6,0.51,600
19.6,0.15,400
52.6,0.21,4500
72.8,0.4,3700
31.6,0.81,3350
27.4,0.71,4800
54.2,0.75,1700
74,0.29,2000
94.8,0.68,850
44,0.37,2250
47.6,0.69,2950
82.4,0.99,4200
89.6,0.39,1300
83,0.86,1800
50.4,0.8,3600
79,0.28,4400
4.4,0.42,3800
88.2,0.94,2750
17.4,0.46,2950
27.4,0.65,4650
51.4,0.85,2700
72,0.08,3650
77.2,0.92,2900
8.8,0.22,1450
71.6,0.77,2300
29.6,0.09,650
76.6,0.83,450
51.4,0.99,300
9.2,0.62,3600
48.2,0.85,4300
11.4,0.06,2250
97.8,0.38,1300
76.6,0.89,2400
88.2,0.18,3450
65.2,0.61,4450
64,0.6,350
95.4,0.2,4450
51,0.04,4300
40.8,0.67,2450
20.8,0.75,3350
57,0.82,2100
21.2,0.37,4850
39.6,0.46,4800
34.6,0.87,300
21.4,0.7,1500
32.6,0.04,3350
30,0.68,550
10.6,0.25,500
75.2,0.29,1800
14.2,0.9,4550
2,0.97,4200
57.8,0.77,200
32.2,0.23,3450
37.2,0.44,650
71.6,0.54,4800
77.8,0.25,3750
70.8,0.56,250
67.8,0.4,2350
17.4,0.4,4150
10.8,0.55,3150
34.8,0.99,5000
83.6,0.23,4450
19.6,0.85,2000
22.6,0.69,700
85.6,0.46,1600
15.8,0.52,300
84.4,0.31,1600
87.6,0.35,3350
58.8,0.09,4300
17.6,0.34,2600
32,0.86,4050
73.2,0.1,3500
10.6,0.56,300
28.4,0.95,4250
86,0.92,2850
80.8,0.89,2850
84.8,0.41,3450
78.2,0.64,200
85.6,0.86,3650
61.6,0.58,4450
8,0.85,4100
37.8,0.66,1450
26,0.05,2150
66.4,0.8,3850
38,0.83,3250
47.8,0.29,4900
59.2,0.79,4700
50,0.89,3550
73.2,0.18,1750
94.4,0.4,400
67,0.73,2150
5,0.68,850
47,0.12,3050
16.4,0.18,2500
5.2,0.95,3400
61.2,0.12,2550
23.2,0.73,1150
93.8,0.58,450
29,0.6,4150
24,0.97,1000
86.2,0.56,600
68.6,0.54,400
88.4,0.95,4500
56.8,0.71,3700
22.6,0.21,3350
41.2,0.18,4800
13,0.63,1700
12.2,0.07,2000
16,0.89,850
29,0.94,2250
21.8,0.18,2950
72,0.32,4200
44.4,0.03,1300
33.2,0.61,1800
64.2,0.6,3600
61.4,0.37,4400
38.8,0.64,3800
80,0.41,2750
39,0.67,2950
14.4,0.39,4650
22.2,0.42,2700
70.8,0.45,3650
24.2,0.98,2900
63,0.6,1450
5,0.84,2300
46.4,0.67,650
28.6,0.16,450
16,0.65,300
67.8,0.3,3600
85.8,0.83,4300
87.8,0.49,2250
80.8,0.13,1300
62,0.5,2400
37.2,0.69,3450
41.6,0.9,4450
35.6,0.92,350
73.4,0.1,4450
11.6,0.24,4300
62,0.81,2450
80.4,0.61,3350
35.4,0.78,2100
10.8,0.62,4850
32.8,0.12,4800
29.6,0.37,300
75.6,0.85,1500
13.8,0.3,3350
85.4,0.86,550
63,0.52,500
17.6,0.26,1800
77.8,0.13,4550
69.4,0.47,4200
85,0.35,200
9.6,0.06,3450
4.8,0.2,650
69.8,0.43,4800
71.4,0.43,3750
58,0.33,250
3.2,0.75,2350
31.6,0.46,4150
76.4,0.52,3150
50.2,0.66,5000
29.8,0.98,4450
28.8,0.19,2000
29.6,0.38,700
92.6,0.41,1600
76.2,0.2,300
58.4,0.18,1600
57.6,0.07,3350
28.2,0.46,4300
85.6,0.9,2600
48,0.15,4050
2.2,0.55,3500
50.8,0.1,300
43.4,0.62,4250
58,0.99,2850
21.6,0.41,2850
73.2,0.96,3450
18.8,0.42,200
13,0.61,3650
38.4,0.69,4450
20,0.42,4100
54.2,0.1,1450
57.8,0.68,2150
68.8,0.64,3850
94.4,0.55,3250
61.6,0.8,4900
19.2,0.24,4700
70.4,0.17,3550
52,0.58,1750
25.4,0.52,400
12.6,0.54,2150
4.8,0.3,850
44,0.27,3050
9.6,0.37,2500
51.2,0.17,3400
91,0.91,2550
80.6,0.77,1150
55,0.31,450
12.6,0.07,4150
1.2,0.65,1000
3.8,0.55,600
61.4,0.5,400
91.6,0.3,4500
18.6,0.29,3700
28.8,0.6,3350
21.2,0.95,4800
18.2,0.75,1700
83.2,0.54,2000
90.4,0.96,850
0.8,0.61,2250
4.2,0.71,2950
69.4,0.9,4200
5.2,0.39,1300
22.4,0.32,1800
29.6,0.84,3600
94.8,0.26,4400
91.4,0.55,3800
58.6,0.78,2750
69,0.26,2950
78.2,0.18,4650
77.6,0.69,2700
14.2,0.64,3650
84.8,0.38,2900
82.2,0.85,1450
28.8,0.76,2300
49.4,0.83,650
86.6,0.84,450
26.2,0.58,300
65.6,0.76,3600
85.2,0.97,4300
45,0.74,2250
88.8,0.08,1300
15.4,0.91,2400
80.6,0.26,3450
67.2,0.64,4450
78.2,0.5,350
44.8,0.3,4450
44.4,0.92,4300
3.8,0.52,2450
56,0.02,3350
68,0.88,2100
89.8,0.78,4850
44.4,0.4,4800
87.2,0.15,300
65.6,0.49,1500
48.4,0.11,3350
29.8,0.12,550
52.4,0.12,500
27,0.4,1800
21,0.38,4550
17,0.93,4200
16.8,0.17,200
96.8,0.84,3450
17.6,0.63,650
97.8,0.7,4800
9.4,0.77,3750
61.6,0.68,250
15.6,0.1,2350
46.6,0.93,4150
93.6,0.77,3150
77.2,0.56,5000
19.2,0.67,4450
2.6,0.48,2000
57.6,0.83,700
23.4,0.84,1600
11.2,0.58,300
6,0.57,1600
57.4,0.57,3350
79.8,0.47,4300
22.2,0.69,2600
37.6,0.07,4050
15.8,0.76,3500
22.2,0.79,300
20,0.96,4250
6.4,0.49,2850
50.6,0.48,2850
11.8,0.94,3450
42.4,0.93,200
8.2,0.08,3650
22.8,0.41,4450
42.2,0.79,4100
64.4,0.57,1450
80.2,0.79,2150
17.8,0.62,3850
41.2,0.28,3250
27.8,0.73,4900
87,0.6,4700
33,0.87,3550
47.4,0.48,1750
4.4,0.95,400
32,0.72,2150
10,0.66,850
19.6,0.97,3050
68.2,0.36,2500
0.2,0.2,3400
27.4,0.78,2550
95.6,0.04,1150
58.2,0.37,450
61,0.97,4150
0.2,0.35,1000
62,0.18,600
36,0.15,400
30.2,0.52,4500
50.2,0.98,3700
54.4,0.57,3350
12.2,0.85,4800
26.4,0.2,1700
72.8,0.04,2000
67,0.43,850
58.8,0.9,2250
79,0.74,2950
19.8,0.85,4200
44,0.42,1300
20.8,0.13,1800
95.8,0.74,3600
29.6,0.11,4400
32.4,0.49,3800
77.4,0.15,2750
91.2,0.92,2950
40.6,0.46,4650
4.8,0.52,2700
35,0.58,3650
92.6,0.22,2900
34,0.09,1450
38.2,0.64,2300
40.6,0.52,650
57.6,0.74,450
37.2,0.05,300
87,0.21,3600
39.8,0.71,4300
63.4,0.63,2250
7,0.6,1300
96.4,0.45,2400
31,0.03,3450
24.8,0.41,4450
86.8,0.04,350
20.6,0.99,4450
43.8,0.35,4300
32.2,0.02,2450
41.6,0.34,3350
91.6,0.07,2100
49.8,0.22,4850
74,0.91,4800
99.2,0.78,300
26,0.81,1500
74.2,0.92,3350
11.4,0.35,550
53.6,0.25,500
22,0.57,1800
77.6,0.82,4550
45.2,0.1,4200
55.8,0.62,200
7.6,0.36,3450
64.8,0.41,650
70,0.83,4800
38.8,0.97,3750
51,0.97,250
55.4,0.68,2350
99,0.99,4150
96.6,0.45,3150
67.2,0.56,5000
72.8,0.33,4450
81,0.63,2000
44.2,0.94,700
98,0.1,1600
56.6,0.52,300
6.6,0.84,1600
67.2,0.31,3350
87.2,0.92,4300
78,0.62,2600
43.2,0.38,4050
35,0.28,3500
20.6,0.19,300
91.8,0.97,4250
45.4,0.79,2850
33.4,0.72,2850
59.4,0.92,3450
7,0.71,200
78.8,0.4,3650
70.8,0.87,4450
43.2,0.47,4100
64,0.96,1450
80.6,0.82,2150
6.2,0.79,3850
66.4,0.73,3250
2.6,0.93,4900
42.4,0.61,4700
55.2,0.18,3550
19.6,0.38,1750
48,0.71,400
85.4,0.69,2150
87,0.93,850
60.2,0.69,3050
73.6,0.55,2500
20.6,0.78,3400
26.4,0.22,2550
8.2,0.77,1150
26.8,0.53,450
63.6,0.21,4150
85.8,0.88,1000
37.8,0.86,600
73.4,0.92,400
78,0.86,4500
98,0.62,3700
98.2,0.39,3350
82,0.87,4800
36.2,0.82,1700
78.6,0.15,2000
35.4,0.64,850
18.2,0.18,2250
70.2,0.51,2950
41.4,0.36,4200
99.8,0.06,1300
1,0.76,1800
6.6,0.87,3600
3,0.49,4400
35.8,0.96,3800
73.2,0.11,2750
81.4,0.63,2950
91.2,0.88,4650
46.6,0.61,2700
52,0.58,3650
20.6,0.92,2900
53,0.96,1450
22,0.3,2300
30.6,0.7,650
19.6,0.79,450
83.8,0.75,300
30.8,0.42,3600
49.4,0.74,4300
84,0.33,2250
41.2,0.25,1300
97.2,0.4,2400
89.4,0.36,3450
29.8,0.27,4450
71.4,0.57,350
60.2,0.61,4450
51.2,0.76,4300
89.4,0.76,2450
54.2,0.3,3350
37.4,0.84,2100
53.6,0.5,4850
45.2,0.35,4800
91,0.96,300
92.4,0.23,1500
32.6,0.01,3350
60.8,0.05,550
94.8,0.88,500
73.4,0.63,1800
40,0.26,4550
89.4,0.24,4200
41.2,0.54,200
44.8,0.43,3450
42,0.91,650
56.6,0.09,4800
15.4,0.39,3750
69.4,0.69,250
97.8,0.19,2350
34.6,0.32,4150
12.6,0.25,3150
58,0.73,5000
55.8,0.49,4450
26.6,0.8,2000
71.6,0.32,700
52.2,0.24,1600
92.4,0.79,300
20.6,0.83,1600
36.2,0.62,3350
10.8,0.89,4300
24.6,0.48,2600
89.6,0.76,4050
86.6,0.47,3500
31.6,0.71,300
71.8,0.43,4250
61.8,0.95,2850
62.8,0.31,2850
17.8,0.43,3450
61.4,0.1,200
59.2,0.5,3650
16,0.44,4450
15.8,0.87,4100
63,0.76,1450
17.6,0.38,2150
28.6,0.19,3850
27.4,0.3,3250
57.6,0.28,4900
68,0.2,4700
4.2,0.32,3550
27.8,0.98,1750
15.6,0.72,400
70.6,0.34,2150
16.4,0.91,850
15,0.72,3050
68.4,0.23,2500
45.4,0.29,3400
62.4,0.53,2550
7.8,0.36,1150
50.8,0.62,450
37,0.98,4150
38.6,0.87,1000
6.6,0.08,600
8.4,0.08,400
17,0.46,4500
13.2,0.16,3700
16.2,0.32,3350
86.4,0.24,4800
32.6,0.76,1700
89.6,0.81,2000
22,0.48,850
37.6,0.4,2250
37.8,0.19,2950
19.8,0.32,4200
76,0.72,1300
83.2,0.98,1800
90,0.66,3600
41,0.41,4400
99,0.23,3800
50.4,0.42,2750
29.8,0.16,2950
89.6,0.95,4650
22,0.94,2700
10.8,0.5,3650
11,0.94,2900
86.8,0.63,1450
58.8,0.63,2300
11,0.29,650
81.2,0.5,450
27,0.37,300
47.8,0.74,3600
47.4,0.12,4300
34.8,0.94,2250
82.6,0.61,1300
42.2,0.13,2400
35.2,0.94,3450
26,0.72,4450
12,0.25,350
82.4,0.8,4450
46.8,0.9,4300
32,0.87,2450
58.2,0.04,3350
69.4,0.41,2100
84.4,0.61,4850
59.4,0.74,4800
64,0.48,300
57.8,0.53,1500
87.6,0.92,3350
27.2,0.51,550
0.6,0.33,500
41.6,0.88,1800
95.4,0.11,4550
16.6,0.95,4200
0.6,0.08,200
4.8,0.86,3450
0.8,0.22,650
82.2,0.25,4800
11,0.83,3750
0.6,0.27,250
66.2,0.72,2350
44.6,0.81,4150
0.2,0.82,3150
38.2,0.56,5000
4.8,0.85,4450
20.6,0.77,2000
58.2,0.57,700
2.8,0.23,1600
37.2,0.58,300
23.6,0.43,1600
45.6,0.96,3350
2.2,0.68,4300
75,0.5,2600
35.4,0.57,4050
36.4,0.32,3500
28.8,0.21,300
78,0.33,4250
45.6,0.1,2850
27.6,0.39,2850
53.8,0.35,3450
76.2,0.97,200
91,0.56,3650
73.6,0.7,4450
71.8,0.68,4100
51.8,0.35,1450
95.8,0.64,2150
19.6,0.24,3850
69.8,0.54,3250
89.8,0.08,4900
22.8,0.02,4700
32.4,0.61,3550
97.8,0.97,1750
54,0.6,400
18.6,0.07,2150
98.6,0.52,850
41.6,0.34,3050
94.6,0.22,2500
51,0.91,3400
0.6,0.93,2550
25.4,0.49,1150
30.4,0.77,450
31.6,0.56,4150
63.2,0.74,1000
76.8,0.18,600
40.2,0.1,400
36.6,0.78,4500
64.6,0.92,3700
32.4,0.03,3350
26.8,0.49,4800
22,0.42,1700
10.4,0.91,2000
71.6,0.84,850
51.8,0.68,2250
64.2,0.16,2950
22,0.45,4200
52,0.76,1300
5.4,0.27,1800
41.2,0.87,3600
34.2,0.28,4400
53.2,0.2,3800
11.6,0.86,2750
66.8,0.43,2950
43.6,0.71,4650
24.4,0.05,2700
90.6,0.91,3650
35,0.75,2900
38.8,0.33,1450
23.8,0.46,2300
54.6,0.41,650
41.2,0.94,450
89.4,0.06,300
91.6,0.29,3600
96,0.1,4300
44.4,0.26,2250
52.8,0.65,1300
3.4,0.91,2400
85.4,0.01,3450
68.6,0.31,4450
72.6,0.41,350
27.8,0.64,4450
25.8,0.77,4300
72.4,0.04,2450
49.6,0.17,3350
63.4,0.89,2100
72.2,0.69,4850
12.2,0.88,4800
91.4,0.36,300
56.8,0.4,1500
42,0.15,3350
88.2,0.06,550
8,0.75,500
23.8,0.12,1800
51,0.76,4550
94.4,0.49,4200
14.8,0.4,200
74.6,0.03,3450
22.8,0.53,650
11,0.45,4800
65.4,0.03,3750
98.4,0.44,250
16.8,0.99,2350
0.4,0.59,4150
19.6,0.23,3150
67.4,0.83,5000
6,0.59,4450
48.8,0.03,2000
60.6,0.16,700
86,0.84,1600
76.4,0.39,300
38.4,0.24,1600
91.2,0.06,3350
13.2,0.73,4300
6.4,0.45,2600
99.8,0.49,4050
50.2,0.15,3500
56,0.27,300
28.4,0.49,4250
24.4,0.14,2850
72.6,0.16,2850
74.6,0.54,3450
12.4,0.39,200
7.2,0.35,3650
61.8,0.44,4450
59.6,0.21,4100
73.6,0.81,1450
27.6,0.15,2150
55.8,0.77,3850
58.8,0.63,3250
9.2,0.25,4900
28.8,0.37,4700
72,0.96,3550
65.6,0.2,1750
71.6,0.6,400
70.4,0.01,2150
52.4,0.9,850
17,0.51,3050
38,0.33,2500
90.6,0.54,3400
91,0.66,2550
82,0.05,1150
40,0.05,450
83.4,0.91,4150
67.8,0.67,1000
20.2,0.46,600
63.2,0.5,400
96.6,0.87,4500
33.6,0.7,3700
27.6,0.32,3350
55.8,0.06,4800
75.6,0.56,1700
39.2,0.5,2000
55.8,0.28,850
19.4,0.3,2250
27.4,0.7,2950
51.6,0.41,4200
92,0.53,1300
42.4,0.95,1800
13.8,0.86,3600
97.4,0.94,4400
47.4,0.24,3800
61,0.29,2750
75.8,0.44,2950
18.2,0.45,4650
0.8,0.8,2700
48.6,0.71,3650
19.2,0.65,2900
9.8,0.53,1450
44.2,0.86,2300
92.2,0.13,650
23.2,0.88,450
89.8,0.92,300
61,0.29,3600
78.2,0.45,4300
75.2,0.55,2250
18.4,0.21,1300
70.2,0.71,2400
81.4,0.1,3450
33.4,0.83,4450
40.6,0.57,350
41.4,0.3,4450
84.6,0.62,4300
89.6,0.66,2450
88.6,0.8,3350
75.8,0.42,2100
1.4,0.55,4850
47.2,0.69,4800
86,0.37,300
80.6,0.57,1500
11,0.48,3350
48.6,0.15,550
61.4,0.9,500
59.6,0.39,1800
60.8,0.92,4550
58.4,0.03,4200
50.2,0.77,200
27.2,0.55,3450
47.4,0.26,650
53.2,0.44,4800
85.6,0.73,3750
23.2,0.87,250
31.8,0.15,2350
99.4,0.24,4150
87.4,0.28,3150
99.4,0.55,5000
88.8,0.76,4450
88,0.98,2000
70.8,0.94,700
80,0.21,1600
11,0.79,300
5.8,0.14,1600
35.4,0.48,3350
61.4,0.69,4300
34.8,0.93,2600
96.4,0.2,4050
63.6,0.55,3500
92.6,0.53,300
68.8,0.8,4250
